date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.34218606079214,0.3383481731654897,241.0,0.26054054054054054,6398.0,16.0,100.0,0.875,9.044,684.0,5074.0,1.0,5.0
4.0,0.33574284835435253,0.33343586588741925,234.0,0.26292134831460673,6534.0,16.0,100.0,1.978,7.638,656.0,5140.0,1.0,5.0
5.0,0.33264132864899393,0.3312040881507506,211.0,0.2384180790960452,6514.0,16.0,100.0,2.108,7.748,674.0,5116.0,1.0,5.0
6.0,0.3332786077819734,0.32457724511574454,215.0,0.24431818181818182,6502.0,16.0,100.0,0.912,7.352,665.0,5084.0,1.0,5.0
7.0,0.32974559686888455,0.3250163078930202,219.0,0.25317919075144507,6262.0,16.0,100.0,1.087,7.847,646.0,4910.0,1.0,5.0
8.0,0.3306504599211564,0.3216162943495401,214.0,0.2526564344746163,6091.0,16.0,100.0,2.283,7.367,633.0,4744.0,1.0,5.0
9.0,0.3206840390879479,0.31514657980456023,205.0,0.2452153110047847,6132.0,16.0,100.0,2.027,7.309,631.0,4762.0,1.0,5.0
10.0,0.33102652825836215,0.3203163618388532,214.0,0.26065773447015833,6088.0,16.0,100.0,1.451,7.594,607.0,4697.0,1.0,5.0
11.0,0.3367965367965368,0.3326406926406926,207.0,0.25682382133995035,6140.0,16.0,100.0,0.873,7.336,599.0,4696.0,1.0,5.0
12.0,0.32611707655005195,0.32161413231728436,187.0,0.23492462311557788,6069.0,16.0,100.0,2.072,7.174,609.0,4646.0,1.0,5.0
