date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.37969676994067236,0.3790375741595254,303.0,0.46189024390243905,996.0,16.0,100.0,0.362,4.554,353.0,6476.0,1.0,5.0
4.0,0.38492328218812544,0.38892595063375585,615.0,0.8060288335517694,123.0,16.0,100.0,0.097,1.84,148.0,1150.0,1.0,5.0
5.0,0.38998211091234347,0.3870005963029219,233.0,0.2991014120667522,1517.0,16.0,100.0,0.644,9.846,546.0,11137.0,1.0,5.0
6.0,0.3878116343490305,0.3898891966759003,168.0,0.18400876232201532,2998.0,16.0,100.0,0.968,13.091,745.0,17751.0,1.0,5.0
7.0,0.38965904833270887,0.3889097040089921,258.0,0.30246189917936694,1677.0,16.0,100.0,2.029,10.448,595.0,12256.0,1.0,5.0
8.0,0.37706953642384106,0.3783112582781457,291.0,0.34933973589435774,1444.0,16.0,100.0,1.104,9.667,542.0,12790.0,1.0,5.0
9.0,0.35330188679245284,0.3561320754716981,234.0,0.26590909090909093,2669.0,16.0,100.0,1.346,11.407,646.0,17422.0,1.0,5.0
10.0,0.35304198800342756,0.34875749785775495,86.0,0.10955414012738854,2416.0,16.0,100.0,2.43,12.616,699.0,18690.0,1.0,5.0
11.0,0.3858093126385809,0.38654841093865483,246.0,0.3,2120.0,16.0,100.0,1.997,10.283,574.0,14220.0,1.0,5.0
12.0,0.39303079416531606,0.39546191247974066,264.0,0.3626373626373626,1167.0,16.0,100.0,1.706,8.113,464.0,10491.0,1.0,5.0
