date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.37969676994067236,0.37969676994067236,303.0,0.46189024390243905,996.0,16.0,100.0,0.35,4.348,353.0,6476.0,1.0,5.0
4.0,0.38492328218812544,0.38925950633755835,615.0,0.8060288335517694,123.0,16.0,100.0,0.103,1.982,148.0,1150.0,1.0,5.0
5.0,0.38998211091234347,0.38580799045915326,233.0,0.2991014120667522,1517.0,16.0,100.0,0.672,10.088,546.0,11137.0,1.0,5.0
6.0,0.3878116343490305,0.389196675900277,168.0,0.18400876232201532,2998.0,16.0,100.0,2.769,12.988,745.0,17751.0,1.0,5.0
7.0,0.38965904833270887,0.38965904833270887,258.0,0.30246189917936694,1677.0,16.0,100.0,0.699,10.498,595.0,12256.0,1.0,5.0
8.0,0.37706953642384106,0.37706953642384106,291.0,0.34933973589435774,1444.0,16.0,100.0,1.237,9.473,542.0,12790.0,1.0,5.0
9.0,0.35330188679245284,0.35754716981132073,234.0,0.26590909090909093,2669.0,16.0,100.0,0.932,10.994,646.0,17422.0,1.0,5.0
10.0,0.35304198800342756,0.34875749785775495,86.0,0.10955414012738854,2416.0,16.0,100.0,1.254,11.965,699.0,18690.0,1.0,5.0
11.0,0.3858093126385809,0.3902439024390244,246.0,0.3,2120.0,16.0,100.0,1.219,9.433,574.0,14220.0,1.0,5.0
12.0,0.39303079416531606,0.39708265802269044,264.0,0.3626373626373626,1167.0,16.0,100.0,1.601,7.771,464.0,10491.0,1.0,5.0
