game_id,is_win,player_id,date
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,0,6,1
1,0,7,1
1,0,8,1
1,0,9,1
1,0,10,1
2,1,11,1
2,1,12,1
2,1,13,1
2,1,14,1
2,1,15,1
2,0,16,1
2,0,17,1
2,0,18,1
2,0,19,1
2,0,20,1
3,1,21,1
3,1,22,1
3,1,23,1
3,1,24,1
3,1,25,1
3,0,26,1
3,0,27,1
3,0,28,1
3,0,29,1
3,0,30,1
4,1,11,1
4,1,12,1
4,1,13,1
4,1,14,1
4,1,15,1
4,0,26,1
4,0,27,1
4,0,28,1
4,0,29,1
4,0,30,1
5,1,31,1
5,1,32,1
5,1,33,1
5,1,34,1
5,1,35,1
5,0,36,1
5,0,37,1
5,0,38,1
5,0,39,1
5,0,40,1
6,1,41,1
6,1,42,1
6,1,43,1
6,1,44,1
6,1,45,1
6,0,46,1
6,0,47,1
6,0,48,1
6,0,49,1
6,0,50,1
7,1,51,1
7,1,52,1
7,1,53,1
7,1,54,1
7,1,55,1
7,0,21,1
7,0,22,1
7,0,23,1
7,0,24,1
7,0,25,1
8,1,56,1
8,1,57,1
8,1,58,1
8,1,59,1
8,1,60,1
8,0,61,1
8,0,62,1
8,0,63,1
8,0,64,1
8,0,65,1
9,1,6,1
9,1,7,1
9,1,8,1
9,1,9,1
9,1,66,1
9,0,67,1
9,0,68,1
9,0,69,1
9,0,10,1
9,0,70,1
10,1,71,1
10,1,72,1
10,1,73,1
10,1,74,1
10,1,75,1
10,0,76,1
10,0,77,1
10,0,78,1
10,0,79,1
10,0,80,1
11,1,81,1
11,1,82,1
11,1,83,1
11,1,84,1
11,1,85,1
11,0,86,1
11,0,87,1
11,0,88,1
11,0,89,1
11,0,90,1
12,1,91,1
12,1,92,1
12,1,93,1
12,1,94,1
12,1,95,1
12,0,96,1
12,0,97,1
12,0,98,1
12,0,99,1
12,0,100,1
13,1,101,1
13,1,102,1
13,1,103,1
13,1,104,1
13,1,105,1
13,0,106,1
13,0,107,1
13,0,108,1
13,0,109,1
13,0,110,1
14,1,16,1
14,1,17,1
14,1,18,1
14,1,19,1
14,1,20,1
14,0,111,1
14,0,112,1
14,0,113,1
14,0,114,1
14,0,115,1
15,1,36,1
15,1,37,1
15,1,38,1
15,1,39,1
15,1,40,1
15,0,46,1
15,0,47,1
15,0,48,1
15,0,49,1
15,0,50,1
16,1,71,1
