date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.350253807106599,0.34517766497461927,423.0,0.6360902255639098,122.0,16.0,100.0,0.201,2.545,242.0,2380.0,1.0,5.0
4.0,0.3439153439153439,0.34656084656084657,428.0,0.5035294117647059,270.0,16.0,100.0,0.458,6.033,422.0,4806.0,1.0,5.0
5.0,0.38870967741935486,0.36612903225806454,290.0,0.31016042780748665,591.0,16.0,100.0,2.087,8.995,645.0,10220.0,1.0,5.0
6.0,0.3917910447761194,0.3787313432835821,167.0,0.17377731529656607,756.0,16.0,100.0,2.939,12.061,794.0,12985.0,1.0,5.0
7.0,0.38105263157894737,0.35368421052631577,246.0,0.24404761904761904,620.0,16.0,100.0,2.761,11.582,762.0,10987.0,1.0,5.0
8.0,0.36073825503355705,0.34563758389261745,413.0,0.385981308411215,536.0,16.0,100.0,1.244,10.499,657.0,9521.0,1.0,5.0
9.0,0.3627659574468085,0.34574468085106386,456.0,0.38676844783715014,475.0,16.0,100.0,0.995,10.933,723.0,9034.0,1.0,5.0
10.0,0.37251512532411407,0.3759723422644771,493.0,0.35985401459854016,596.0,16.0,100.0,1.309,12.912,877.0,11185.0,1.0,5.0
11.0,0.3958143767060964,0.3776160145586897,435.0,0.30742049469964666,940.0,16.0,100.0,2.112,16.746,980.0,15764.0,1.0,5.0
12.0,0.40610687022900765,0.38778625954198476,224.0,0.16766467065868262,1157.0,16.0,100.0,4.463,17.56,1112.0,19040.0,1.0,5.0
