date,error_elo,error_adj,added_players,new_pid_percentage,matches_count,p_repeat_time,p_walk_length,rw_time_cost,emb_time_cost,nv,ne,period,window_size
3.0,0.350253807106599,0.34517766497461927,423.0,0.6360902255639098,122.0,16.0,100.0,0.203,2.615,242.0,2380.0,1.0,5.0
4.0,0.3439153439153439,0.34656084656084657,428.0,0.5035294117647059,270.0,16.0,100.0,0.393,6.656,422.0,4806.0,1.0,5.0
5.0,0.38870967741935486,0.36612903225806454,290.0,0.31016042780748665,591.0,16.0,100.0,2.951,10.706,645.0,10220.0,1.0,5.0
6.0,0.3917910447761194,0.3787313432835821,167.0,0.17377731529656607,756.0,16.0,100.0,3.272,12.624,794.0,12985.0,1.0,5.0
7.0,0.38105263157894737,0.35578947368421054,246.0,0.24404761904761904,620.0,16.0,100.0,2.091,12.398,762.0,10987.0,1.0,5.0
8.0,0.36073825503355705,0.34731543624161076,413.0,0.385981308411215,536.0,16.0,100.0,2.04,10.415,657.0,9521.0,1.0,5.0
9.0,0.3627659574468085,0.3478723404255319,456.0,0.38676844783715014,475.0,16.0,100.0,2.202,9.768,723.0,9034.0,1.0,5.0
10.0,0.37251512532411407,0.37683664649956783,493.0,0.35985401459854016,596.0,16.0,100.0,1.397,12.832,877.0,11185.0,1.0,5.0
11.0,0.3958143767060964,0.37852593266606005,435.0,0.30742049469964666,940.0,16.0,100.0,2.835,14.535,980.0,15764.0,1.0,5.0
12.0,0.40610687022900765,0.3893129770992366,224.0,0.16766467065868262,1157.0,16.0,100.0,4.946,17.004,1112.0,19040.0,1.0,5.0
